Chr	Position	TraitA	TraitB
1	719789	0.00348586	0.00111964
1	769018	-0.000549013	-0.00479766
1	776231	0.00228936	0.000264957
1	778681	0.00239267	-0.00534482
1	792193	-0.00121083	0.000379654
1	793507	-0.00121083	0.000379654
1	797069	0.00228936	0.000264957
1	798109	0.00239267	-0.00534482
1	799951	0.000906219	0.00404379
1	801138	-0.00185614	-0.000437991
1	805126	0.00191968	-0.000567311
1	805814	0.00226469	-0.00206399
1	809505	0.00239267	-0.00534482
1	810128	-7.53E-05	0.00201482
1	812618	0.00608277	0.0127846
1	815169	0.00227304	0.00166013
1	817590	0.00227304	0.00166013
1	824172	0.00507296	0.00659146
1	828442	0.00223051	0.00166013
1	834575	0.00334702	0.00249644
1	840327	0.00374094	0.00225146
1	842891	0.00358647	0.00129379
1	851174	0.00285101	-0.00109522
1	851802	0.00271197	0.00696168
1	853560	0.00271197	0.00696168
1	865816	0.000451641	-0.000312106
1	876560	0.000155506	-1.96E-05
1	883546	-0.0017884	-0.00184436
1	888832	-0.00196316	-0.00184436
1	1009174	0.00306337	-0.00538735
1	1012386	0.000746255	0.00202996
1	1020188	0.000317966	0.000834353
1	1021385	0.00373791	-0.00470338
1	1023073	0.000396668	0.00234278
1	1024068	0.000396668	0.00234278
1	1029073	0.000705167	0.00202499
1	1029750	0.000369547	0.00167853
1	1030732	0.000503898	0.00128459
1	1032564	0.000251018	-0.00533584
1	1035007	0.00098532	-0.00496571
1	1042221	-0.000961822	0.00384244
1	1043014	0.00100734	0.00268086
1	1045142	-0.000694096	0.00261718
1	1046048	-0.000848253	-0.00793425
1	1047307	-0.0018424	0.00269825
1	1052361	0.00110105	-0.00476799
1	1055397	0.00200756	-0.002032
1	1067987	0.0019169	-0.000192686
1	1071551	-0.00325043	0.00535396
1	1072890	0.00615947	0.00384059
1	1080925	0.00226999	0.010401
1	1085878	-0.00669655	-0.00127904
1	1086817	-0.00425744	0.00101664
1	1087810	-0.00425744	0.00101664
1	1088504	0.000768989	0.00378933
1	1091658	0.00132448	0.0103343
1	1092486	0.00132448	0.0103343
1	1094000	0.00132448	0.0103343
1	1094557	0.00070577	-0.00186527
1	1098033	0.00144956	0.00378079
1	1099222	0.00144634	0.000882631
1	1100108	0.00181544	0.00815628
1	1101545	0.00106486	0.00792843
1	1102489	0.00181544	0.00815628
1	1103174	-0.000584659	0.00188073
1	1104577	-0.00213463	0.00732203
1	1105364	-0.00311646	0.00639321
1	1105927	-0.00311646	0.00639321
1	1107830	0.00181544	0.00815628
1	1110393	0.000667057	-0.00249452
1	1112539	0.000493552	0.0017781
1	1113772	-0.000305564	-0.00195792
1	1117674	-0.000104709	0.000980768
1	1120201	0.00478584	0.00459664
1	1126372	-0.000722391	-0.00154744
1	1133120	0.00352781	0.00238668
1	1139082	0.00730651	0.0020856
1	1145725	0.0114011	-0.00400783
1	1149230	0.00337616	0.00264097
1	1150763	0.00204197	0.00455756
1	1152173	0.0114011	-0.00400783
1	1155003	0.0114011	-0.00400783
1	1156411	-0.000522677	0.00317387
1	1161575	0.0114011	-0.0035065
1	1162865	0.0114011	-0.0035065
1	1166331	0.0114011	-0.0035065
1	1167048	0.00256025	-0.00435745
1	1171794	0.0036659	-0.00112062
1	1188534	-0.00129538	0.00296708
1	1196001	-0.00484001	0.00093477
1	1197303	-0.00549419	-6.59E-05
1	1198396	-0.000325808	0.00121452
1	1199009	0.0018904	0.00579779
1	1201923	-0.000186992	0.00476812
1	1205650	0.000252405	-5.59E-05
1	1208548	0.00190162	0.00512951
1	1217609	-0.00214951	0.0031253
1	1220841	0.00229723	0.00350369
1	1225308	0.000480651	0.00274784
1	1232515	0.000764781	0.0027703
1	1235550	0.00225955	0.0035624
1	1238461	-0.00153537	0.00775036
1	1245818	0.000793369	0.000310699
1	1255775	-0.0128008	0.00315758
1	1265712	0.00522577	-0.00330503
1	1276912	-0.00402984	0.00126834
1	1277514	-0.00392349	0.000160164
1	1312720	0.003784	-0.000292705
1	1317200	0.003784	-0.000292705
1	1368477	0.00566642	-0.00302875
1	1371361	0.000716662	0.00311624
1	1375784	0.0100679	-0.000231616
1	1382499	0.0033773	0.00262034
1	1385687	0.00218866	0.00329164
1	1389678	0.00326356	0.00263686
1	1400585	0.00278989	0.00417401
1	1403560	0.00317731	0.00263686
1	1406817	0.00557791	-0.000690417
1	1408026	0.00557791	-0.000690417
1	1412376	0.000575267	0.00226236
1	1416198	0.00317731	0.00263686
1	1426466	0.00317731	0.00263686
1	1430780	0.00317731	0.00263686
1	1434878	0.00317731	0.00263686
1	1440329	-0.00121796	0.00347831
1	1447896	0.00694666	-0.000615734
1	1464637	0.00410783	0.00319492
1	1480243	0.00469619	0.00288793
1	1487082	0.00386926	0.00338774
1	1493402	0.00424331	0.00189214
1	1498423	0.00424331	0.00189214
1	1502102	0.00188384	0.00479767
1	1505863	-0.000952423	-0.00279956
1	1510920	-0.00144815	-0.000701695
1	1519087	0.00377326	0.00338774
1	1523007	0.00293692	0.00142532
1	1539499	0.00422357	0.000861655
1	1540641	0.000869132	0.000367242
1	1543729	-0.000664433	0.000106202
1	1545418	0.00375336	0.00376501
1	1552410	0.00517795	0.00237895
1	1556392	0.00208747	-0.00108469
1	1558454	0.00250363	0.00392851
1	1559099	-0.0043449	-0.00150615
1	1561579	0.00147215	0.00242958
1	1566539	-0.00213804	0.00185284
1	1567663	-0.000247355	0.00138389
1	1568595	7.12E-05	-0.00117249
1	1569217	7.12E-05	-0.00117249
1	1571091	-0.00282248	-0.00356437
